data,modo,venceu,pontuacao,passos,tempo_ms
2025-04-06 13:35,facil,True,1000,35,204.69
2025-04-06 13:35,facil,True,1000,29,169.01
2025-04-06 13:35,dificil,True,3000,58,99.57
2025-04-06 13:36,facil,True,1000,36,222.78
2025-04-06 13:42,medio,True,2000,44,123.42
2025-04-06 13:42,medio,True,2000,45,149.39
2025-04-06 13:42,dificil,True,3000,57,90.95
2025-04-06 13:42,medio,True,2100,48,139.0
2025-04-06 13:42,dificil,True,3000,56,76.85
2025-04-06 13:42,facil,True,1100,35,212.25
2025-04-06 13:42,facil,True,1000,32,194.34
2025-04-06 14:40,facil,True,1000,34,189.99
2025-04-06 14:40,medio,True,2000,46,140.39
2025-04-06 14:40,dificil,True,3000,58,77.59
2025-04-06 14:40,facil,True,1000,35,210.92
2025-04-06 16:50,facil,True,1000,33,239.85
