data,modo,venceu,pontuacao,passos,tempo_ms
2025-04-06 13:25,facil,True,1000,44,1.44
2025-04-06 13:33,facil,True,1100,47,1.09
2025-04-06 13:33,facil,True,1000,40,0.72
2025-04-06 13:42,medio,True,2000,58,1.04
2025-04-06 13:42,dificil,False,0,4,0.16
2025-04-06 13:42,dificil,False,0,4,0.15
2025-04-06 14:40,dificil,False,100,7,0.16
2025-04-06 14:40,medio,False,1300,45,0.88
2025-04-06 14:40,facil,True,1000,36,0.68
2025-04-06 16:48,facil,True,1000,39,0.7
2025-04-06 16:48,medio,False,1400,49,1.12
